Temps (s), Puissance (W),Longueur d'onde (nm),Position x (mm),Position y (mm)
5.8154847621917725,5,1000,9.130434782608695,-9.531772575250837
6.266571760177612,5,1000,8.729096989966557,2.508361204013376
6.637445688247681,5,1000,8.729096989966557,-9.732441471571907
7.014491319656372,5,1000,3.712374581939798,-9.531772575250837
7.386216878890991,5,1000,9.130434782608695,3.1103678929765906
7.7833850383758545,5,1000,8.528428093645488,-9.130434782608695
8.175683736801147,5,1000,8.729096989966557,-9.331103678929765
8.539872407913208,5,1000,-4.314381270903009,-4.11371237458194
8.94049620628357,5,1000,9.331103678929765,2.709030100334452
9.302184581756592,5,1000,9.531772575250834,-9.933110367892976
9.691931962966919,5,1000,3.511705685618729,-4.715719063545151
10.085132598876953,5,1000,9.73244147157191,4.314381270903013
10.466821670532227,5,1000,3.1103678929765906,-4.314381270903009
10.843698024749756,5,1000,3.9130434782608674,-9.331103678929765
11.199738264083862,5,1000,9.331103678929765,-2.7090301003344486
11.578057765960693,5,1000,3.3110367892976598,2.508361204013376
11.996842861175537,5,1000,8.729096989966557,-3.9130434782608674
12.372949600219727,5,1000,3.712374581939798,-8.327759197324415
12.769290924072266,5,1000,3.511705685618729,-9.130434782608695
13.163013458251953,5,1000,3.712374581939798,-4.715719063545151
13.564509630203247,5,1000,4.113712374581944,-9.331103678929765
13.980098009109497,5,1000,4.314381270903013,-9.531772575250837
14.423495054244995,5,1000,3.3110367892976598,-10.133779264214045
14.8003671169281,5,1000,9.331103678929765,-9.933110367892976
15.200417041778564,5,1000,3.511705685618729,-8.127090301003342
15.5800621509552,5,1000,9.331103678929765,2.9096989966555213
15.970162630081177,5,1000,3.1103678929765906,-9.531772575250837
16.368008136749268,5,1000,8.729096989966557,-9.531772575250837
16.74699068069458,5,1000,3.712374581939798,-9.531772575250837
17.15060544013977,5,1000,3.511705685618729,-7.123745819397993
17.55398416519165,5,1000,8.729096989966557,-9.933110367892976
17.94297766685486,5,1000,8.729096989966557,-7.123745819397993
18.377673387527466,5,1000,3.9130434782608674,2.9096989966555213
18.820693969726562,5,1000,3.3110367892976598,-9.732441471571907
19.227195739746094,5,1000,3.9130434782608674,-9.531772575250837
19.635278940200806,5,1000,-9.732441471571907,-9.933110367892976
20.0523624420166,5,1000,9.531772575250834,-2.508361204013376
20.454664945602417,5,1000,5.317725752508359,4.113712374581944
20.880035638809204,5,1000,4.113712374581944,-9.531772575250837
21.300103902816772,5,1000,-4.11371237458194,-10.535117056856187
21.70914649963379,5,1000,7.324414715719065,-9.732441471571907
22.092267990112305,5,1000,-5.719063545150501,-9.531772575250837
22.48626732826233,5,1000,3.9130434782608674,1.9063545150501682
22.895725965499878,5,1000,3.1103678929765906,-5.11705685618729
23.287543535232544,5,1000,8.729096989966557,-9.531772575250837
23.690248012542725,5,1000,-4.314381270903009,-3.511705685618729
24.052009344100952,5,1000,3.1103678929765906,-10.133779264214045
24.502718687057495,5,1000,8.327759197324418,2.709030100334452
24.89752745628357,5,1000,8.729096989966557,-9.130434782608695
25.304291248321533,5,1000,-4.314381270903009,2.9096989966555213
25.684482097625732,5,1000,3.511705685618729,-9.732441471571907
26.058329105377197,5,1000,9.130434782608695,-9.331103678929765
26.434371948242188,5,1000,-4.314381270903009,-8.929765886287626
26.82001543045044,5,1000,3.3110367892976598,-8.528428093645484
27.20077157020569,5,1000,9.531772575250834,-9.531772575250837
27.581495761871338,5,1000,3.712374581939798,-8.528428093645484
27.95396590232849,5,1000,3.3110367892976598,-6.521739130434781
28.35074496269226,5,1000,-4.515050167224079,-9.732441471571907
28.76046895980835,5,1000,3.511705685618729,-9.531772575250837
29.151185512542725,5,1000,4.113712374581944,-9.331103678929765
29.530560731887817,5,1000,9.331103678929765,2.9096989966555213
29.94595193862915,5,1000,9.130434782608695,-9.732441471571907
30.41953730583191,5,1000,8.929765886287626,-8.528428093645484
