Puissance (W),Longueur d'onde (nm),Position x (mm),Position y (mm)
5,1000,8.729096989966557,-9.130434782608695
5,1000,8.729096989966557,-9.531772575250837
5,1000,3.712374581939798,-2.1070234113712374
5,1000,9.531772575250834,1.5050167224080262
5,1000,9.130434782608695,-9.531772575250837
5,1000,-3.712374581939798,-6.521739130434781
5,1000,3.511705685618729,-9.331103678929765
5,1000,8.729096989966557,-3.9130434782608674
5,1000,8.929765886287626,-9.331103678929765
5,1000,3.9130434782608674,-9.531772575250837
5,1000,9.331103678929765,9.531772575250834
5,1000,9.130434782608695,-9.331103678929765
5,1000,5.11705685618729,-4.11371237458194
5,1000,9.93311036789298,5.518394648829435
5,1000,6.722408026755851,-4.11371237458194
5,1000,4.113712374581944,-8.127090301003342
5,1000,9.93311036789298,3.1103678929765906
5,1000,-4.515050167224079,3.511705685618729
5,1000,9.130434782608695,-8.929765886287626
5,1000,5.11705685618729,-9.531772575250837
5,1000,3.3110367892976598,10.535117056856187
5,1000,8.729096989966557,-7.725752508361204
5,1000,8.929765886287626,-8.327759197324415
5,1000,3.511705685618729,-4.11371237458194
5,1000,2.709030100334452,-0.7023411371237458
5,1000,8.528428093645488,-9.331103678929765
