Temps (s), Puissance (W)
4.353196382522583, 5
4.83249306678772, 5
5.264057397842407, 5
5.68790078163147, 5
6.11307692527771, 5
6.5352678298950195, 5
6.944634199142456, 5
7.383977174758911, 5
7.809893369674683, 5
8.263527393341064, 5
8.720901012420654, 5
9.176013708114624, 5
9.638272285461426, 5
10.077478408813477, 5
10.504366874694824, 5
10.921493530273438, 5
11.37608814239502, 5
11.862676620483398, 5
12.288111209869385, 5
12.708505392074585, 5
13.116613864898682, 5
13.570148706436157, 5
13.976161241531372, 5
14.448799848556519, 5
14.886310815811157, 5
15.27921748161316, 5
15.749167203903198, 5
16.19741439819336, 5
16.6406888961792, 5
17.038716554641724, 5
17.448420763015747, 5
17.8873188495636, 5
18.262048959732056, 5
18.714487552642822, 5
19.200560808181763, 5
