True Wavelength,Predicted Wavelength,Sensor,Absolute Error,Relative Error (%),Trial
250.0,262.49729327519617,P_IR1,12.49729327519617,4.998917310078468,0
250.0,271.3238116970356,P_IR1,21.32381169703558,8.529524678814232,1
250.0,278.4754386729411,P_IR1,28.475438672941095,11.390175469176437,2
250.0,262.49729327519617,P_IR1,12.49729327519617,4.998917310078468,3
250.0,262.49729327519617,P_IR1,12.49729327519617,4.998917310078468,4
250.0,262.49729327519617,P_IR1,12.49729327519617,4.998917310078468,5
250.0,273.15619926954383,P_IR1,23.156199269543833,9.262479707817533,6
250.0,262.49729327519617,P_IR1,12.49729327519617,4.998917310078468,7
250.0,300.57151902109166,P_IR1,50.57151902109166,20.228607608436665,8
250.0,262.49729327519617,P_IR1,12.49729327519617,4.998917310078468,9
250.0,274.2594513522534,P_IR1,24.259451352253393,9.703780540901358,10
250.0,291.8754814961466,P_IR1,41.87548149614662,16.75019259845865,11
250.0,262.49729327519617,P_IR1,12.49729327519617,4.998917310078468,12
250.0,271.69622629844844,P_IR1,21.696226298448437,8.678490519379375,13
250.0,268.6977304766282,P_IR1,18.69773047662818,7.479092190651272,14
250.0,175.41609054499136,P_IR1xP,74.58390945500864,29.833563782003452,0
250.0,261.4530192140104,P_IR1xP,11.453019214010396,4.581207685604158,1
250.0,157.2244208476274,P_IR1xP,92.77557915237259,37.11023166094903,2
250.0,262.49729327519617,P_IR1xP,12.49729327519617,4.998917310078468,3
250.0,262.49729327519617,P_IR1xP,12.49729327519617,4.998917310078468,4
250.0,176.68033123264405,P_IR1xP,73.31966876735595,29.32786750694238,5
250.0,215.93819405058,P_IR1xP,34.061805949420005,13.624722379768004,6
250.0,262.49729327519617,P_IR1xP,12.49729327519617,4.998917310078468,7
250.0,262.49729327519617,P_IR1xP,12.49729327519617,4.998917310078468,8
250.0,262.49729327519617,P_IR1xP,12.49729327519617,4.998917310078468,9
250.0,108.68666306143334,P_IR1xP,141.31333693856666,56.525334775426664,10
250.0,262.49729327519617,P_IR1xP,12.49729327519617,4.998917310078468,11
250.0,87.81477766240144,P_IR1xP,162.18522233759856,64.87408893503942,12
250.0,128.12397699862206,P_IR1xP,121.87602300137794,48.750409200551175,13
250.0,262.49729327519617,P_IR1xP,12.49729327519617,4.998917310078468,14
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,0
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,1
250.0,-16.5498646812405,P_IR2,266.5498646812405,106.61994587249619,2
250.0,-110.83885947754898,P_IR2,360.83885947754897,144.33554379101957,3
250.0,-227.53734127091684,P_IR2,477.53734127091684,191.01493650836673,4
250.0,152.6841516943311,P_IR2,97.31584830566891,38.92633932226756,5
